Season,Week,Contestant,Est_Fan_Votes,Certainty,Judge Score,Official Result,Model,Score_Judge_Tanh,Score_Fan_Tanh,Final_Score,Final_Rank,Original_Rank
3,3,Mario Lopez,0.0955204216073781,0.2325840579710137,22.0,Safe,Improved,0.31916395301436407,0.15411329340397215,0.23663862320916812,5.0,6.5
3,3,Emmitt Smith,0.0911725955204216,0.2325840579710143,19.0,Safe,Improved,0.01889580551165019,0.008876972038370932,0.01388638877501056,8.0,11.0
3,3,Shanna Moakler,0.1097244473722734,0.232584057971014,0.0,Safe,Improved,-0.960779483088622,0.5607115484786124,-0.20003396730500483,10.0,6.5
3,3,Willa Ford,0.0955204216073781,0.232584057971014,22.0,Safe,Improved,0.31916395301436407,0.15411329340397215,0.23663862320916812,5.0,6.5
3,3,Sara Evans,0.0998682476943346,0.2325840579710144,25.0,Safe,Improved,0.5666223642070646,0.29298182751683377,0.4298020958619492,3.0,3.0
3,3,Jerry Springer,0.0940711462450593,0.2325840579710152,21.0,Safe,Improved,0.2229674685194026,0.10612533323152704,0.16454640087546482,7.0,10.0
3,3,Tucker Carlson,0.1097244473722735,0.2325840579710143,0.0,Safe,Improved,-0.960779483088622,0.560711548478615,-0.2000339673050035,9.0,4.0
3,4,Harry Hamlin,0.1213121212121212,0.3946393939393928,0.0,Safe,Improved,-0.908731146037011,0.7206598049459929,-0.09403567054550904,8.0,4.0
3,4,Vivica A. Fox,0.0,0.9394848484848484,24.0,Eliminated,Improved,0.46739403297343546,-0.9913254202774302,-0.2619656936519974,11.0,9.5
3,4,Monique Coleman,0.0895675324675324,0.3946393939393943,24.0,Safe,Improved,0.46739403297343546,-0.04008958870495096,0.21365222213424226,5.0,8.0
3,4,Joey Lawrence,0.094112987012987,0.3946393939393933,27.0,Safe,Improved,0.6411335609237214,0.09550094919406248,0.36831725505889196,3.0,3.0
3,4,Mario Lopez,0.09714329004329,0.394639393939393,29.0,Safe,Improved,0.7301302835361432,0.18426645133941916,0.4571983674377812,1.0,1.0
3,4,Emmitt Smith,0.0895675324675325,0.3946393939393937,24.0,Safe,Improved,0.46739403297343546,-0.04008958870494806,0.2136522221342437,4.0,5.0
3,4,Shanna Moakler,0.1213121212121211,0.3946393939393936,0.0,Safe,Improved,-0.908731146037011,0.7206598049459912,-0.09403567054550988,9.5,6.5
3,4,Willa Ford,0.0956281385281385,0.3946393939393944,28.0,Safe,Improved,0.6882121706178836,0.14016532367530646,0.41418874714659504,2.0,2.0
3,4,Sara Evans,0.0835069264069264,0.3946393939393933,20.0,Safe,Improved,0.16732199274937798,-0.2177723729198254,-0.02522519008522371,7.0,11.0
3,4,Jerry Springer,0.0865372294372294,0.3946393939393939,22.0,Safe,Improved,0.32553022983141255,-0.1299743253234946,0.09777795225395898,6.0,9.5
3,4,Tucker Carlson,0.1213121212121211,0.394639393939394,0.0,Safe,Improved,-0.908731146037011,0.7206598049459912,-0.09403567054550988,9.5,6.5
3,5,Harry Hamlin,0.1492712707182321,0.6418839779005502,0.0,Safe,Improved,-0.8501170726198033,0.8210904205630037,-0.014513326028399776,8.0,5.0
3,5,Vivica A. Fox,0.1492712707182321,0.641883977900552,0.0,Safe,Improved,-0.8501170726198033,0.8210904205630037,-0.014513326028399776,8.0,5.0
3,5,Monique Coleman,0.0693624309392265,0.641883977900552,27.0,Safe,Improved,0.6669997168257228,-0.40391317763469653,0.13154326959551313,1.5,1.5
3,5,Joey Lawrence,0.0660475138121546,0.6418839779005543,25.0,Safe,Improved,0.5734081578881116,-0.45755298436949365,0.05792758675930898,4.0,7.0
3,5,Mario Lopez,0.0693624309392264,0.6418839779005534,27.0,Safe,Improved,0.6669997168257228,-0.4039131776346984,0.13154326959551219,3.0,3.0
3,5,Emmitt Smith,0.0693624309392265,0.6418839779005527,27.0,Safe,Improved,0.6669997168257228,-0.40391317763469653,0.13154326959551313,1.5,1.5
